,Age,log_price,log_arrival_delays,Gender_Male,Customer Type_Premium,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Satisfaction
14515,24.0,3.078693794268338,0.0,1,1,4,2,1,4,4,4,4,5,1,0
14516,63.0,4.3288895362607525,0.0,1,1,0,1,5,1,2,1,3,1,3,0
14517,53.0,3.5473158897921495,0.0,1,1,4,5,2,3,1,3,5,3,4,0
14518,52.0,4.73409096605493,0.0,0,1,2,2,2,2,2,2,3,2,5,1
14519,43.92341907824223,5.037731519757957,0.0,1,1,4,2,1,4,2,3,4,5,1,0
14520,38.0,4.0285608216760975,0.0,1,0,0,5,5,5,3,4,4,4,5,0
14521,46.0,4.558916801470629,0.0,0,1,1,1,4,5,5,5,3,5,5,1
14522,23.0,3.5709401562492498,0.0,0,0,3,3,5,2,2,2,4,3,5,0
14523,21.0,3.342154841028372,0.0,0,1,4,4,1,3,4,4,5,4,1,0
14524,53.0,5.112349168833885,1.0986122886681098,0,1,5,1,1,2,4,3,1,2,1,0
14525,41.0,5.093566134787897,0.6931471805599453,1,1,3,4,5,4,5,5,5,5,5,1
14526,31.699850778085697,4.517540436027117,0.6931471805599453,1,0,2,3,2,2,4,4,1,3,2,0
14527,65.0,4.74005066818191,0.0,1,1,5,1,5,5,3,5,5,5,3,0
14528,43.0,5.2235938203521,0.0,0,1,3,3,3,5,5,5,4,5,3,1
14529,63.0,5.002737521969115,0.0,0,1,5,2,3,3,4,5,4,5,3,0
14530,56.0,3.864302269216734,0.0,0,1,3,3,1,2,4,2,2,3,1,0
14531,21.0,4.360036616782266,0.0,1,0,3,3,4,1,2,2,2,2,4,0
14532,57.0,4.9811378233072325,0.0,1,1,3,3,1,3,3,3,2,3,1,0
14533,52.0,3.2363227384719213,0.0,0,1,3,3,1,4,1,4,2,3,1,0
14534,45.0,4.933826241409298,0.0,0,1,1,1,5,4,4,4,4,4,5,1
14535,57.0,4.714652196605089,0.0,1,1,4,4,2,5,4,5,5,5,5,1
14536,43.92341907824223,2.0693912058263346,0.6931471805599453,1,1,5,2,4,1,5,1,4,4,4,0
14537,49.0,2.70805020110221,0.0,1,1,2,2,4,3,3,3,3,3,4,0
14538,45.0,5.060948107969845,0.0,1,1,1,1,5,4,4,4,1,4,3,1
14539,49.0,3.917010546939185,0.0,0,1,3,4,3,2,5,4,1,3,3,0
14540,24.0,4.694553747122777,0.6931471805599453,0,0,2,1,2,2,1,3,3,3,3,0
14541,43.9097214811653,4.842611042003125,0.0,0,1,5,2,3,3,3,4,4,5,3,0
14542,56.0,4.528397127182178,0.0,1,1,3,1,2,5,1,5,4,5,5,0
14543,58.0,3.0281994636914926,0.6931471805599453,0,1,3,3,3,4,4,4,5,4,4,1
14544,46.0,4.5427627258594745,0.0,1,1,3,3,1,2,3,2,3,2,4,0
14545,51.0,3.4660483539817717,0.0,1,1,5,1,5,1,3,1,4,1,3,0
14546,28.0,4.910225466497217,0.0,1,0,1,5,1,4,5,4,3,4,1,0
14547,38.0,4.553455750301413,0.0,1,1,5,5,2,3,3,3,1,3,4,0
14548,67.0,3.7848712197676626,0.0,1,1,5,1,5,5,1,5,3,5,3,0
14549,22.0,2.4239173781615704,0.0,1,0,5,5,1,3,4,2,3,1,1,1
14550,29.0,3.11529150861163,0.0,0,1,1,4,1,3,1,4,2,4,1,0
14551,64.0,5.52321937087711,0.0,1,1,1,1,2,1,1,1,4,1,3,0
14552,60.0,5.117215066158812,0.0,1,0,1,3,1,3,1,4,5,1,1,0
14553,59.0,5.403217776373406,0.0,1,1,5,5,2,1,1,1,2,1,3,0
14554,24.0,4.0347714706871995,0.0,1,1,4,4,5,5,1,4,1,4,5,0
14555,53.0,4.494350350882848,0.0,0,1,5,5,3,5,1,2,2,5,3,1
14556,19.0,4.714383270961408,0.0,1,1,5,1,3,5,4,5,5,5,3,0
14557,58.0,3.3703944725071104,0.0,1,1,1,4,5,5,3,5,3,5,4,1
14558,34.0,5.37957472085497,0.0,1,1,3,3,2,2,2,2,4,2,3,0
14559,50.0,3.6906279246480533,0.0,1,1,1,1,5,1,1,1,1,1,3,0
14560,43.0,3.8766030601968855,0.0,0,1,3,2,3,2,2,3,3,2,3,0
14561,25.0,4.023385473281607,0.0,1,0,4,4,2,5,4,4,4,5,2,0
14562,34.0,4.1260047149499695,0.0,0,1,3,3,1,2,2,2,1,2,4,0
14563,23.0,3.4375293109095457,0.0,0,0,2,3,2,4,4,4,4,3,2,0
14564,25.0,2.7536607123542622,0.0,1,0,0,3,4,2,2,4,4,3,4,1
14565,43.0,3.7140597526442347,0.0,1,1,1,1,2,4,4,4,3,4,3,1
14566,42.0,4.017283516085639,0.0,1,1,2,2,3,3,2,3,1,3,3,0
14567,53.0,4.791649752930709,0.0,1,1,4,4,1,3,3,3,1,3,1,1
14568,43.9097214811653,3.2168738221975275,0.0,0,1,3,3,4,1,2,3,3,4,4,0
14569,45.0,3.8104331496665127,0.6931471805599453,0,1,3,3,4,5,5,5,2,5,5,1
14570,28.0,5.004348909453547,0.0,0,1,3,3,3,5,2,5,5,5,3,1
14571,56.0,4.774912960575186,0.0,0,1,5,5,2,3,3,3,5,3,3,1
14572,46.0,4.150409786155049,0.0,1,1,2,2,2,4,4,4,3,4,1,1
14573,45.0,5.820379622240015,0.6931471805599453,0,1,5,5,2,2,2,2,4,2,1,0
14574,26.0,4.312408567793012,0.0,1,0,0,3,3,4,2,4,4,5,3,0
14575,64.0,3.661251286996462,0.0,0,1,4,4,2,4,4,4,5,4,2,0
14576,39.0,5.245970886175828,0.0,0,1,4,2,1,5,3,5,5,4,1,0
14577,63.0,4.42376820625352,0.0,0,1,4,2,5,3,5,4,5,4,5,0
14578,21.0,3.888754378488792,0.0,1,0,3,4,4,4,4,4,2,3,4,0
14579,49.0,5.5756081359326926,0.0,0,1,3,3,4,5,5,5,3,5,5,1
14580,43.9097214811653,3.868906714354518,0.0,0,1,4,2,5,3,4,4,4,4,5,0
14581,27.0,2.6390573296152584,0.0,1,1,5,3,4,4,5,5,3,4,4,0
14582,64.0,2.4069451083182885,0.0,0,1,1,1,2,2,4,4,2,3,2,0
14583,43.0,3.192531849528599,0.0,0,1,3,3,4,3,2,3,2,3,4,1
14584,25.0,4.509649984130679,0.0,1,0,1,3,4,3,5,4,2,1,4,0
14585,39.0,3.8488701904228773,0.0,0,1,5,5,3,3,4,3,2,3,1,1
14586,22.0,3.913222286003628,0.0,0,0,1,2,1,4,3,1,3,2,1,0
14587,57.0,5.298917186620004,0.0,1,1,5,5,5,5,5,5,5,5,4,1
14588,29.0,4.01764348729183,0.0,1,1,3,5,3,1,1,2,4,4,3,0
14589,44.0,3.4989288701554906,0.0,0,1,3,3,4,1,4,3,4,3,4,0
14590,29.0,5.184476550124277,0.0,0,1,1,1,4,4,3,5,3,2,4,1
14591,29.0,2.9391619220655967,0.0,1,1,4,3,4,4,1,4,2,4,4,0
14592,36.0,3.3600281046240843,0.0,0,1,4,4,5,5,3,1,3,4,5,1
14593,34.0,2.5249283241374862,0.0,0,1,4,4,4,2,3,4,5,3,4,1
14594,80.0,3.266141017335315,0.0,0,1,4,4,3,1,1,1,3,1,3,0
14595,61.0,3.930648469551311,0.0,0,1,5,3,5,1,4,1,3,1,5,0
14596,26.0,3.9441028988915576,0.0,0,1,4,4,5,2,4,1,3,4,5,0
14597,43.92341907824223,5.6161163379036285,0.0,1,1,4,4,2,2,2,3,3,4,2,0
14598,22.0,4.152613470346076,0.0,0,0,5,2,1,5,5,5,3,4,1,0
14599,43.92341907824223,2.7013612129514133,0.0,1,1,0,3,3,3,3,4,4,4,3,0
14600,38.0,5.9933128379655995,0.0,0,1,5,5,4,4,4,4,4,4,3,1
14601,32.0,4.28606624352797,0.0,0,1,2,3,1,3,4,4,2,4,1,0
14602,53.0,5.785270291502469,0.0,1,1,1,1,2,3,4,3,4,3,5,1
14603,57.0,5.83501539448142,0.0,0,1,5,5,2,5,5,5,5,5,5,1
14604,32.0,4.0928434360958335,0.0,0,0,3,3,3,1,3,3,4,3,3,0
14605,59.0,3.9485477801105184,0.0,1,1,2,2,5,5,5,5,5,5,5,1
14606,56.0,4.925948485929061,0.0,1,1,4,2,2,1,1,1,3,1,3,0
14607,52.0,5.593632731155213,0.0,0,1,1,1,4,4,4,4,5,4,3,1
14608,61.0,3.566994266123812,0.0,1,1,4,4,5,1,3,1,1,1,2,0
14609,65.0,4.068513802187579,0.6931471805599453,0,1,4,3,5,3,3,4,3,4,5,0
14610,49.0,3.3690184832979204,0.0,1,1,2,2,2,4,4,4,1,4,4,1
14611,47.0,4.3031186995690085,0.0,0,1,4,4,2,3,3,3,4,3,5,1
14612,25.0,5.097302167306828,0.0,1,0,4,4,4,5,3,4,3,4,4,1
14613,59.0,4.268297869345539,0.0,1,1,2,2,5,1,3,1,3,1,4,0
14614,55.0,4.684905154006945,0.0,1,1,2,2,5,1,1,1,1,1,4,0
14615,26.0,3.9520126536443043,0.0,1,1,5,3,3,3,4,3,3,4,3,0
14616,67.0,2.9512577834521614,0.0,0,1,4,4,2,4,4,5,4,4,2,0
14617,20.0,4.9183006828934595,0.0,1,0,4,2,1,2,4,1,2,4,1,0
14618,43.9097214811653,3.1419947805322432,0.6931471805599453,0,1,4,4,2,5,2,4,3,4,2,0
14619,19.0,5.426930434016013,1.0986122886681098,1,1,1,1,3,5,1,2,3,2,3,0
14620,58.0,2.7107133185216936,0.0,0,1,3,4,1,2,5,3,3,3,1,0
14621,26.0,3.94681083091381,0.0,1,1,1,1,4,1,1,1,5,3,4,1
14622,57.0,5.707840894783702,0.0,1,1,1,1,2,5,5,5,3,5,4,1
14623,38.0,4.118549250918918,0.0,0,1,2,2,2,4,2,3,1,4,2,0
14624,59.0,4.076859247881081,0.0,0,1,1,1,3,3,3,3,4,3,4,1
14625,35.0,4.983880556787436,0.0,0,1,1,1,2,4,4,4,4,4,2,0
14626,66.0,5.5756081359326926,0.0,0,1,4,3,2,5,3,4,2,3,2,0
14627,54.0,4.414251781968619,0.0,0,1,3,3,5,2,4,3,4,4,5,1
14628,36.0,3.9821086129948338,0.0,1,1,4,2,2,5,5,5,4,5,5,1
14629,44.0,4.079061705357583,0.0,1,0,1,3,5,2,4,3,3,3,5,0
14630,26.0,3.7923381624821664,0.0,0,1,5,4,5,5,3,4,4,5,5,0
14631,25.0,4.233236561088719,0.0,0,1,1,1,2,2,1,3,4,3,2,0
14632,57.0,4.6261485923732835,0.0,1,1,2,2,4,5,5,5,5,5,4,1
14633,40.0,4.330206885944085,0.0,0,0,2,3,4,4,2,5,5,5,4,0
14634,52.0,4.480626850913491,0.0,1,1,4,4,3,2,2,2,3,2,5,1
14635,58.0,4.6339519874135435,0.0,1,1,2,2,2,4,4,4,4,4,5,1
14636,39.0,3.564449375735759,0.0,0,1,2,2,4,4,4,5,2,4,1,1
14637,61.0,3.7764323511217976,0.0,1,1,4,4,5,3,3,3,3,3,3,0
14638,37.0,3.382014562245381,0.6931471805599453,1,0,2,4,3,1,4,4,3,2,3,0
14639,53.0,5.170881643238353,0.0,1,1,4,2,5,5,5,5,4,5,5,1
14640,59.0,5.23665470615593,0.0,0,1,5,5,1,1,3,1,3,3,1,0
14641,40.0,5.771877165121539,0.0,0,1,4,4,2,5,5,5,5,5,5,1
14642,36.0,2.8627721462977607,0.0,1,1,1,2,3,2,2,1,2,2,3,1
14643,26.0,3.9347624923976356,0.0,1,0,3,4,2,2,3,4,3,1,2,0
14644,43.9097214811653,4.111037785163761,0.0,0,1,5,1,1,1,5,1,2,4,1,0
14645,30.0,4.487287145331375,0.0,1,0,2,4,4,4,1,4,4,3,4,0
14646,43.9097214811653,4.269277781231888,0.0,0,1,1,3,4,4,1,3,4,3,4,0
14647,43.0,4.779543572932872,0.0,0,1,5,5,5,1,2,1,3,1,3,0
14648,69.0,3.5160130560907366,0.0,1,1,0,5,2,3,2,3,3,3,5,0
14649,26.0,4.088661779086602,0.0,0,0,3,1,3,5,2,4,3,5,3,0
14650,43.92341907824223,4.810638445622293,0.6931471805599453,1,1,4,4,3,5,5,5,2,5,2,0
14651,25.0,3.914619631275412,0.0,0,1,5,5,2,2,2,3,2,4,2,0
14652,43.0,5.19750206130922,0.0,0,1,1,1,3,2,2,2,3,2,1,0
14653,39.0,3.2846635654062037,0.0,1,0,3,1,5,4,5,5,2,3,5,0
14654,70.0,3.4232849781261603,0.0,1,1,3,1,5,5,2,5,4,5,3,0
14655,45.0,5.261601513611377,0.0,1,1,3,3,4,4,4,4,4,4,4,1
14656,31.699850778085697,4.091674333666222,0.0,1,0,4,3,1,3,5,4,3,4,1,1
14657,31.0,5.975690792991942,0.0,1,1,3,4,3,1,5,3,1,3,3,0
14658,48.0,3.371081757757532,0.0,0,1,1,1,4,4,5,4,3,4,4,0
14659,39.0,4.1470951276076295,0.0,1,1,5,2,1,1,5,4,4,1,1,0
14660,51.0,5.529111576792769,0.0,1,1,2,2,5,4,4,4,5,4,1,1
14661,50.0,5.318659064205951,0.6931471805599453,1,1,4,4,5,4,5,4,5,4,4,1
14662,33.0,5.060250514638451,0.0,1,1,2,2,4,2,2,2,3,2,5,1
14663,23.0,3.0426158594528414,0.0,1,1,5,4,5,3,2,4,5,4,5,0
14664,29.0,4.350664958230868,0.6931471805599453,1,1,3,3,4,4,4,5,3,4,4,1
14665,20.0,4.734881792509748,0.0,0,0,3,3,1,3,4,5,3,4,1,0
14666,36.0,5.568916859018541,0.0,0,1,3,3,1,3,3,3,2,3,4,0
14667,30.0,1.1052568313867783,0.6931471805599453,0,1,5,5,2,3,5,4,2,4,2,0
14668,52.0,5.469114437490037,0.0,0,1,2,2,2,4,4,4,3,4,4,1
14669,34.0,5.889265694787734,0.0,1,1,1,1,3,4,4,4,3,4,3,1
14670,42.0,5.216076411164126,0.0,1,1,5,5,3,5,5,5,5,5,5,1
14671,45.0,3.29842610362621,0.0,1,1,3,3,4,5,5,5,3,5,4,1
14672,31.0,4.24577726598231,0.0,0,1,4,3,2,1,4,5,1,5,2,0
14673,47.0,5.610313931331246,0.0,0,1,3,3,2,1,5,2,4,4,2,0
14674,20.0,4.296877159632186,0.0,0,1,5,3,3,1,3,3,3,3,3,0
14675,36.0,4.53753353727228,0.0,0,1,5,5,4,5,5,5,4,4,4,0
14676,44.0,5.448460024977757,0.0,1,1,4,4,2,2,2,2,5,2,4,1
14677,49.0,5.708803183113065,0.0,0,1,5,5,4,2,2,2,3,2,4,1
14678,24.0,2.306577114263583,0.0,1,0,2,3,3,3,1,4,1,3,3,0
14679,65.0,2.211565694606877,0.0,1,1,4,1,4,2,2,2,4,2,4,0
14680,66.0,3.6975913947159578,0.0,1,1,5,2,5,5,3,5,3,5,5,0
14681,60.0,3.8965031937701093,0.0,1,1,5,5,5,4,4,4,2,4,4,0
14682,47.0,4.556190003766373,0.6931471805599453,1,1,5,5,4,4,4,4,5,4,3,1
14683,53.0,3.8552409913291616,0.0,1,1,4,3,4,2,2,2,3,2,3,0
14684,53.0,3.100092288878234,0.0,0,1,2,2,3,2,3,4,4,3,3,0
14685,22.0,4.134206095647231,0.0,1,0,0,4,1,5,2,1,3,5,1,0
14686,42.0,2.200552367428894,0.0,1,1,2,2,1,4,4,4,1,4,2,1
14687,25.0,4.546056921495585,0.0,0,0,3,4,3,3,4,3,3,2,3,0
14688,26.0,5.668397063985405,0.0,1,1,3,3,3,1,4,3,3,4,3,0
14689,19.0,3.5281236752345424,0.0,0,1,5,3,5,5,5,5,3,5,5,0
14690,40.0,5.52962748052864,0.0,0,1,4,4,4,1,4,5,4,3,4,1
14691,44.0,4.485823428355525,1.0986122886681098,1,1,3,3,3,2,3,2,4,3,4,0
14692,40.0,5.958993006961019,0.0,1,1,2,2,5,4,4,4,3,4,3,1
14693,43.92341907824223,4.188593573125209,0.0,1,1,2,2,2,3,1,3,1,4,2,0
14694,20.0,5.356680609844951,0.0,1,1,5,1,3,5,2,4,3,5,3,0
14695,27.0,3.5647324613710536,0.0,0,0,3,4,3,4,4,5,5,4,3,0
14696,33.0,3.0411835364579085,0.0,0,1,5,5,5,4,1,3,2,3,5,1
14697,43.92341907824223,4.390490713086011,0.0,1,1,4,3,2,4,5,4,4,5,2,0
14698,39.0,5.597384383866381,0.0,0,1,5,5,2,1,1,4,4,1,4,0
14699,56.0,4.069026754237811,0.0,1,1,3,1,5,2,2,2,2,2,1,0
14700,23.0,5.546504688301678,0.0,0,1,2,2,5,5,5,1,3,1,5,1
14701,50.0,3.6709700335703683,0.0,1,1,5,2,5,4,3,4,4,4,3,0
14702,37.0,4.398391988760146,0.0,0,1,4,3,4,1,2,3,3,4,4,1
14703,23.0,4.932097009765773,0.0,1,0,3,3,1,4,4,5,3,4,1,1
14704,31.0,5.530658490216289,0.0,0,1,5,5,3,5,2,4,5,5,3,1
14705,58.0,4.74371399543615,0.0,1,1,5,3,1,5,3,2,3,5,1,0
14706,41.0,5.468397636919637,0.0,0,1,2,2,5,4,4,4,4,4,3,1
14707,59.0,4.729067822644328,0.0,0,1,4,1,3,4,4,5,4,4,3,0
14708,39.0,5.205214748285712,0.0,1,1,5,5,1,2,2,2,3,2,3,0
14709,39.0,0.9400072584914712,0.0,0,1,4,2,3,3,3,3,3,3,4,1
14710,43.9097214811653,4.133885736842633,0.0,0,1,5,1,2,4,4,5,5,5,2,0
14711,60.0,4.91837379566995,0.0,0,1,4,2,5,5,5,3,4,4,5,0
14712,50.0,4.855617571829646,0.0,0,1,3,4,2,2,3,4,1,3,2,1
14713,33.0,3.492560387676128,0.0,1,1,3,3,1,1,5,3,3,4,1,0
14714,39.0,4.109068957620483,0.0,1,1,3,3,2,5,5,5,5,5,3,1
14715,36.0,3.4685444551217657,0.6931471805599453,0,0,0,1,3,2,4,5,3,3,3,0
14716,41.0,4.937204016010373,0.6931471805599453,0,0,2,3,5,4,4,4,1,4,5,0
14717,23.0,5.888296071618115,0.0,0,1,1,3,2,3,3,4,1,1,1,0
14718,66.0,2.8581928595319295,0.0,0,1,4,4,4,3,5,5,3,4,4,0
14719,25.0,5.022300325626759,0.6931471805599453,1,0,0,2,2,3,2,5,4,4,2,0
14720,56.0,5.705880272738347,0.0,0,1,4,4,4,2,2,2,5,2,3,1
14721,43.0,3.9043939782636548,0.6931471805599453,1,1,1,3,3,2,2,2,1,2,2,0
14722,31.0,5.849497675662358,0.0,0,1,4,4,4,3,4,5,4,4,4,1
14723,43.9097214811653,4.986137662495856,0.0,0,1,5,3,3,4,2,4,5,4,3,0
14724,70.0,2.617395832834079,0.0,1,1,4,3,3,4,4,4,1,4,2,0
14725,45.0,5.154100515787627,0.0,1,1,3,3,5,2,2,2,4,2,4,1
14726,28.0,3.8051057230820686,0.0,0,1,5,5,3,1,3,4,2,3,3,0
14727,34.0,3.537765824444175,0.0,1,1,0,2,3,4,2,4,5,4,5,0
14728,27.0,5.476840050084842,0.0,0,1,3,3,4,4,5,5,3,4,4,1
14729,25.0,4.322939892214555,0.0,1,1,1,1,2,1,3,3,2,3,2,0
14730,70.0,2.5855058483441162,0.6931471805599453,0,1,5,2,3,5,2,5,4,4,3,0
14731,36.0,5.196284640982885,0.0,0,0,2,4,2,3,5,3,2,4,2,0
14732,36.0,5.406005171964954,0.0,1,1,1,1,3,5,5,4,5,5,5,1
14733,24.0,4.958148305082534,0.0,1,0,3,4,1,3,5,3,2,4,1,0
14734,27.0,4.9342580824984905,0.0,1,1,5,5,2,2,2,4,2,3,2,0
14735,24.0,4.767969076293182,0.0,1,0,4,4,5,4,2,5,3,4,5,1
14736,56.0,5.987155275519884,0.0,1,1,4,4,5,5,5,5,5,5,4,1
14737,21.0,3.627269972482245,0.0,1,1,4,3,2,5,3,4,3,5,2,0
14738,50.0,5.117874044765855,0.0,1,1,4,4,4,5,5,5,4,5,4,1
14739,20.0,3.6299253112702656,0.0,1,0,0,3,1,5,5,4,5,5,1,1
14740,27.0,5.141195610775824,0.0,0,0,2,2,1,3,5,4,2,1,1,0
14741,57.0,5.483759050678235,0.0,0,1,3,3,2,3,3,3,5,3,3,1
14742,49.0,4.041295341132285,0.0,0,0,5,1,3,5,5,4,4,4,3,1
14743,32.0,3.286908235260028,0.0,0,1,4,4,4,5,3,5,4,4,4,1
14744,40.0,4.355040769588895,0.0,0,1,5,1,3,3,5,4,5,5,3,0
14745,43.9097214811653,4.144562278382718,0.0,0,1,3,4,2,2,3,3,1,1,2,0
14746,54.0,5.6502058737528085,0.0,1,1,4,4,3,4,4,4,3,4,4,1
14747,20.0,4.8635264290580436,0.0,1,0,4,2,2,3,3,5,3,5,2,1
14748,58.0,5.860159246329991,0.0,0,1,1,1,5,5,5,5,3,5,3,1
14749,39.0,4.366278277705742,0.0,0,1,5,5,3,1,5,3,3,4,3,0
14750,36.0,4.183575695950044,0.0,1,0,0,5,5,3,1,3,5,3,5,0
14751,26.0,4.425445255041403,0.0,1,0,2,3,3,1,1,3,1,3,3,0
14752,53.0,5.102728182753178,0.0,0,1,5,5,1,4,4,4,4,4,3,0
14753,47.0,4.1596640283427435,0.0,1,1,3,3,2,4,4,4,4,4,5,1
14754,59.0,4.20707783220934,0.0,0,1,1,1,2,4,4,4,4,4,4,1
14755,59.0,5.496225157793986,0.0,0,1,1,1,3,4,4,4,3,4,3,1
14756,25.0,4.244630641232919,0.0,0,0,0,4,4,3,4,5,5,5,4,0
14757,57.0,4.6326880720248305,0.0,1,1,2,2,2,4,4,4,5,4,4,1
14758,47.0,4.151984341668515,0.0,1,1,1,1,4,3,3,3,1,3,4,0
14759,62.0,4.594109238628667,0.0,1,0,2,3,5,4,1,3,2,4,5,0
14760,47.0,4.641984159110808,0.0,1,1,1,4,3,5,5,5,5,5,5,1
14761,31.0,5.910390057330312,0.0,0,1,4,4,1,4,1,3,1,4,1,0
14762,27.0,5.465694475956169,0.0,1,1,4,4,5,4,2,4,5,5,5,1
14763,31.667574931880107,4.226249633102039,0.6931471805599453,0,0,3,3,5,1,4,4,1,3,5,0
14764,50.0,4.61274145148441,0.0,0,1,3,3,2,5,5,5,3,5,5,1
14765,46.0,4.753159063701541,0.0,0,0,2,5,3,4,4,4,5,4,3,0
14766,41.0,4.940927881671436,0.0,0,1,3,3,2,5,5,5,4,5,4,1
14767,44.0,4.2936051730729785,0.0,1,1,1,3,2,2,5,2,1,2,3,0
14768,36.0,3.9529729917571004,0.0,0,0,4,4,2,1,3,3,2,4,2,0
14769,57.0,3.845455761156033,0.0,0,1,2,2,2,4,4,5,5,4,5,1
14770,60.0,4.543613880288985,0.0,0,1,3,3,2,3,4,4,1,3,2,0
14771,43.9097214811653,5.24744503617428,0.0,0,1,5,5,3,4,5,5,4,4,3,0
14772,46.0,4.441238494305727,0.0,1,1,4,4,1,4,4,4,4,4,3,1
14773,45.0,3.044522437723423,0.0,0,1,4,4,4,5,3,1,1,1,4,1
14774,55.0,5.465736769089885,0.0,1,0,2,3,3,2,4,2,3,3,3,0
14775,43.9097214811653,5.236175970010187,0.0,0,1,5,5,1,4,3,3,4,3,1,0
14776,23.0,4.384772860341907,0.0,0,0,0,4,4,3,5,4,4,4,4,1
14777,26.0,2.28949985344539,0.0,0,1,4,4,4,4,2,4,3,4,4,0
14778,20.0,5.565362964149375,0.0,0,1,5,3,3,1,3,2,5,4,5,0
14779,65.0,3.862622655133019,0.0,0,1,4,4,3,3,4,4,4,3,3,0
14780,68.0,1.2412685890696329,0.0,0,1,4,3,1,2,2,4,2,3,1,1
14781,48.0,4.504354880749275,0.0,0,0,5,4,1,3,4,4,4,5,1,1
14782,48.0,5.454893673590133,0.0,0,1,1,1,2,4,4,4,2,4,5,1
14783,69.0,4.4057431612911975,0.0,1,1,2,2,4,2,2,2,1,2,2,0
14784,53.0,5.602819682230066,0.0,1,1,2,2,5,5,5,5,5,5,4,1
14785,58.0,4.3556826593342794,0.0,0,1,5,5,1,5,2,4,4,4,1,0
14786,44.0,4.0881588031350145,0.0,1,0,1,3,3,1,1,3,1,3,3,0
14787,55.0,5.784747833479305,0.0,0,1,2,2,3,4,4,4,3,4,4,1
14788,31.0,3.3562000157314196,0.0,1,1,2,4,2,4,1,3,3,4,2,0
14789,41.0,5.216564864675778,0.6931471805599453,0,1,1,1,3,2,3,1,3,2,3,0
14790,55.0,5.528952783620542,0.0,0,1,2,5,3,2,2,2,2,2,4,0
14791,48.0,3.732657076459824,0.0,1,1,2,4,5,4,3,4,1,4,3,0
14792,40.0,5.209103566003207,0.0,0,1,3,3,4,4,4,4,5,4,5,1
14793,43.92341907824223,5.736765827138216,0.0,1,1,1,1,2,2,3,4,4,4,2,0
14794,33.0,3.878259375275337,0.0,0,0,1,1,3,4,5,5,3,5,3,0
14795,45.0,4.603669059861824,0.0,1,0,3,3,1,4,5,4,3,5,1,0
14796,39.0,2.6369121732688705,0.6931471805599453,1,1,2,2,3,4,4,4,5,4,3,1
14797,34.0,5.117155137473929,0.0,0,1,4,4,4,2,1,2,3,2,3,0
14798,35.0,3.154443964708812,0.0,0,0,1,2,4,3,2,2,2,2,4,0
14799,46.0,5.098218729651401,0.0,0,0,4,4,4,1,4,2,4,3,4,0
14800,70.0,5.25817222624361,0.0,0,1,3,5,2,1,4,4,4,5,2,0
14801,28.0,5.390212631252292,0.0,1,1,1,1,4,2,5,5,3,5,4,1
14802,26.0,3.8858843478184513,0.0,0,0,0,3,4,4,4,3,4,5,4,0
14803,54.0,3.5751506887855933,0.0,1,1,1,3,4,4,2,4,3,4,3,0
14804,68.0,5.961237271487885,0.0,1,1,5,5,4,3,3,1,3,3,2,0
14805,48.0,5.631390977234442,0.0,1,1,1,1,3,2,2,2,4,2,2,0
14806,65.0,3.314913013065143,1.0986122886681098,0,0,1,2,2,3,1,1,1,3,1,0
14807,61.0,5.578483766958155,0.0,1,1,1,1,5,4,4,5,3,4,1,1
14808,60.0,5.401595716001538,0.0,0,1,5,5,5,5,5,5,3,5,5,1
14809,20.0,4.30433532695801,0.0,1,0,5,2,2,2,4,4,4,2,2,0
14810,31.699850778085697,4.785155682984498,0.0,1,0,0,3,4,4,4,4,4,5,4,1
14811,36.0,4.909783119099854,0.0,1,1,4,4,5,5,4,5,3,2,5,1
14812,58.0,5.790388213830379,0.0,0,1,1,1,2,5,5,5,5,5,4,1
14813,30.0,4.286203823496544,0.0,0,1,2,2,2,3,5,2,3,2,2,0
14814,44.0,2.9036169846461855,0.0,0,1,1,1,4,5,5,5,5,5,3,1
14815,62.0,4.868226518613468,0.0,1,1,4,1,2,1,2,1,4,1,4,0
14816,62.0,4.89507478679297,0.6931471805599453,1,1,4,3,2,5,1,4,4,5,4,0
14817,40.0,5.727987163353019,0.0,0,1,1,4,5,4,4,4,3,4,4,1
14818,62.0,4.529799878963315,0.0,1,1,4,3,3,2,1,2,4,2,4,0
14819,27.0,4.443827035579329,0.0,0,1,5,4,2,5,5,4,4,5,2,0
14820,31.667574931880107,3.7150344115907874,0.0,0,0,2,3,5,3,5,3,4,4,5,0
14821,67.0,4.770006428441026,0.0,1,1,5,1,3,2,1,3,5,2,5,0
14822,80.0,4.043577445168448,0.0,1,1,1,1,4,2,2,2,4,2,4,0
14823,28.0,4.0668020592157,0.0,0,1,4,4,5,5,5,5,5,4,5,1
14824,66.0,3.816172679771312,0.0,1,1,2,4,5,2,5,2,2,2,1,1
14825,47.0,5.355217413680848,0.0,0,1,4,4,5,5,5,4,4,5,4,1
14826,52.0,5.188781479479729,0.0,0,1,4,4,2,2,2,2,2,2,2,0
14827,22.0,2.7568403652716422,0.0,1,1,3,3,3,2,2,3,1,3,3,0
14828,58.0,2.4159137783010487,0.0,0,1,4,3,5,1,4,2,1,1,5,0
14829,43.92341907824223,2.6837575085331657,0.0,1,1,5,2,3,4,4,5,4,4,3,0
