,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Satisfaction
17562,4,4,5,3,4,3,4,3,3,1
17563,4,2,1,5,4,4,4,4,1,0
17564,2,4,1,2,4,3,1,3,1,0
17565,5,5,4,1,2,5,1,2,4,1
17568,3,3,5,4,4,4,4,4,3,1
17569,3,4,3,1,2,4,3,4,3,0
17570,4,2,2,5,3,2,4,2,2,1
17571,5,5,5,5,5,5,4,5,5,1
17572,5,5,5,1,5,2,3,2,5,1
17573,2,2,4,3,4,3,5,3,5,1
17575,3,3,4,4,4,3,4,4,2,0
17576,1,1,2,4,4,4,3,4,4,1
17577,1,1,5,4,4,4,3,4,2,0
17578,5,5,2,3,4,3,3,3,3,1
17579,4,4,4,5,2,5,4,4,4,1
17580,5,2,1,5,4,5,4,5,1,0
17581,4,4,5,2,2,4,2,4,5,0
17582,3,3,3,3,3,3,3,3,3,0
17583,0,1,2,1,1,1,3,1,5,1
17584,1,1,4,2,4,3,4,3,4,0
17585,4,4,1,1,1,4,2,3,1,0
17586,1,1,5,5,5,4,3,5,5,1
17587,4,4,1,5,5,4,1,4,1,0
17588,1,1,1,4,3,4,3,4,2,0
17589,4,4,5,4,4,4,5,4,5,1
17591,2,3,3,4,3,4,3,3,3,0
17592,5,5,5,5,2,4,5,5,5,1
17593,2,2,3,4,4,4,4,4,4,1
17594,4,4,4,2,2,3,4,4,4,0
17595,4,4,5,4,2,5,4,5,5,1
17596,5,4,1,5,3,4,5,5,4,0
17598,3,3,4,5,4,5,1,5,1,1
17600,2,3,2,1,1,3,2,4,2,0
17601,4,4,5,2,2,2,2,2,4,0
17602,2,4,3,3,4,3,2,3,1,0
17604,4,4,5,4,2,3,5,4,5,1
17605,3,3,5,4,4,4,4,4,5,1
17606,1,4,2,3,2,3,2,4,2,0
17607,1,1,1,4,4,4,3,4,1,0
17608,4,4,1,4,4,2,4,3,1,0
17609,0,3,4,5,1,5,3,5,5,0
17610,1,1,3,1,1,1,4,1,4,0
17611,2,2,4,5,4,3,1,1,4,1
17612,2,2,4,2,3,4,3,4,4,0
17614,2,2,4,1,2,2,2,4,4,1
17615,4,4,4,4,4,4,3,5,4,0
17616,4,4,3,4,3,4,3,4,3,1
17618,4,1,3,3,3,5,3,5,3,0
17620,1,1,3,1,2,3,3,3,3,0
17621,4,3,2,5,3,4,4,5,2,0
17622,5,5,5,5,5,5,4,5,3,1
17624,4,3,2,4,4,3,2,4,2,0
17625,4,4,2,4,5,4,4,4,4,1
17626,2,2,5,4,4,4,3,4,5,1
17627,5,5,2,5,5,5,1,5,4,1
17628,1,1,4,2,2,2,3,2,4,0
17629,3,3,3,4,4,4,4,4,5,1
17631,4,4,4,1,2,4,3,4,4,0
17632,1,1,3,4,4,4,4,4,3,1
17633,5,5,4,2,4,4,2,3,4,0
17635,5,2,4,5,2,5,3,5,4,0
17636,4,4,3,5,5,5,3,5,3,1
17637,2,3,2,1,4,4,2,4,2,0
17638,2,2,4,5,5,5,5,5,4,1
17639,2,2,1,4,4,4,3,4,4,0
17640,2,2,3,3,3,2,4,2,3,0
17641,4,4,5,5,5,5,3,5,5,1
17643,5,5,5,1,2,1,3,1,1,1
17644,2,2,1,5,5,5,1,5,3,1
17645,2,2,5,2,2,2,2,2,5,1
17646,5,5,4,5,5,5,5,5,4,1
17647,3,3,5,4,2,3,3,4,5,1
17648,4,4,1,4,2,4,4,4,1,0
17650,5,5,4,4,4,4,4,4,3,1
17651,1,1,5,5,5,5,5,5,5,1
17653,5,5,1,5,3,3,1,3,1,0
17654,1,2,1,5,5,5,3,4,1,0
17655,5,2,3,3,3,3,4,3,3,1
17656,2,2,3,4,4,4,1,3,3,0
17658,1,1,2,2,2,2,4,2,3,0
17660,1,1,2,5,5,5,3,5,5,1
17661,5,3,1,3,3,4,5,4,1,0
17662,3,5,4,2,4,4,5,1,4,0
17663,5,2,4,5,4,5,3,5,4,0
17664,4,4,3,4,4,4,5,4,3,1
17665,3,4,2,2,3,2,1,3,2,0
17668,3,3,5,1,1,4,2,2,5,0
17669,3,3,2,2,1,4,2,3,2,0
17670,5,3,2,5,3,5,4,5,2,0
17671,4,1,1,5,4,5,3,4,3,0
17672,5,2,3,5,5,5,4,5,4,1
17673,4,4,1,5,5,4,1,5,5,1
17674,5,3,4,4,3,5,5,4,4,1
17675,2,2,2,4,1,3,2,4,2,0
17676,4,5,5,3,4,5,3,4,5,0
17677,5,4,3,4,2,5,3,4,3,0
17678,2,2,2,2,2,2,5,2,4,1
17680,2,2,2,3,3,3,1,3,3,0
17681,1,1,5,4,4,4,5,4,5,1
17682,5,2,5,4,2,2,5,2,5,0
17683,2,2,2,4,4,4,5,4,5,1
17684,2,2,3,5,3,4,5,4,3,1
17685,3,3,1,4,1,2,3,2,1,0
17686,4,3,4,1,3,4,2,3,4,1
17688,2,2,4,3,3,3,4,3,3,0
17689,5,2,1,2,1,1,5,2,1,0
17690,1,1,3,3,5,3,1,3,3,0
17691,1,1,2,4,4,4,4,4,5,1
17693,3,3,3,1,5,4,2,4,3,0
17694,1,1,5,5,5,5,3,5,4,1
17695,1,1,3,5,5,5,4,5,3,1
17696,5,4,5,1,2,1,5,1,4,0
17697,3,3,3,1,4,3,2,5,3,1
17699,1,3,1,2,5,2,1,3,1,0
17700,1,1,4,5,5,5,3,5,5,1
17701,5,3,3,4,4,4,5,4,3,1
17702,1,3,2,4,1,2,2,3,2,0
17703,2,2,5,4,4,4,3,4,3,1
17704,2,4,3,1,3,1,2,1,3,0
17705,2,2,3,2,5,3,4,4,3,0
17706,3,5,1,1,5,5,5,2,1,1
17707,5,4,2,5,2,3,5,5,2,0
17708,2,2,2,4,4,4,4,4,5,1
17709,4,4,2,2,2,2,1,4,2,0
17710,5,5,3,2,1,3,4,4,3,0
17711,5,5,1,3,3,5,3,5,1,0
17712,4,4,4,3,4,3,4,3,1,1
17714,2,2,4,2,4,2,2,1,4,1
17715,5,5,4,5,5,5,1,5,1,1
17716,2,2,2,4,4,4,3,4,4,1
17717,3,3,4,5,4,4,4,4,4,1
17718,4,3,2,5,5,5,5,4,2,0
17720,3,3,2,2,3,2,2,2,1,0
17721,5,1,2,5,2,4,3,4,2,0
17722,2,2,3,4,5,4,5,4,5,1
17725,4,4,3,5,5,4,4,4,3,0
17726,2,2,2,3,4,2,2,3,2,0
17727,4,3,3,5,4,5,4,5,5,0
17728,2,3,1,1,4,4,4,3,1,0
17729,3,3,2,4,4,4,5,4,3,1
17730,5,5,3,3,3,3,4,3,3,0
17731,5,5,2,2,2,2,1,2,1,0
17734,5,2,4,1,4,1,3,1,5,0
17735,2,2,5,5,5,5,3,5,5,1
17737,3,3,2,5,5,5,4,5,5,1
17738,3,4,1,2,3,3,1,3,1,0
17739,2,3,2,5,3,5,4,5,1,0
17740,2,1,2,2,3,2,1,2,2,0
17741,1,1,1,3,3,4,1,4,1,0
17742,4,4,2,2,2,1,1,1,2,0
17743,5,5,3,4,4,4,1,4,1,0
17744,3,3,4,3,5,4,5,5,4,1
17746,3,3,4,1,3,5,2,3,4,1
17747,3,3,5,2,3,5,3,2,1,0
17748,5,3,2,3,4,5,5,3,4,1
17749,4,4,2,3,5,3,4,3,2,0
17750,4,1,1,5,5,4,4,4,1,0
17751,4,3,4,2,2,2,1,2,2,0
17752,5,3,4,3,4,3,4,4,4,0
17753,3,3,5,5,1,3,1,2,5,1
17754,3,3,1,1,3,1,3,2,1,0
17755,3,4,5,4,2,4,4,5,5,0
17756,2,2,3,5,5,5,3,5,4,1
17758,1,1,1,2,3,4,1,3,1,0
17759,4,3,4,5,5,5,4,5,3,0
17760,3,3,2,4,5,4,4,4,5,1
17763,4,5,1,3,3,4,5,4,1,0
17764,3,3,4,1,5,4,3,4,4,0
17765,1,3,5,3,3,3,1,3,2,0
17766,4,4,4,3,4,3,3,4,4,1
17768,5,5,2,5,5,5,3,5,3,1
17770,2,2,5,5,5,5,4,5,5,1
17771,5,2,1,5,2,5,5,4,1,0
17773,5,5,5,3,2,3,4,3,3,0
17774,4,4,3,2,5,4,4,3,4,0
17775,2,2,4,1,2,1,4,1,5,1
17778,5,4,4,5,3,5,2,3,2,0
17779,3,3,2,4,4,4,3,4,5,1
17780,1,1,3,5,5,5,4,5,4,1
17781,2,2,5,5,5,5,3,5,5,1
17782,1,1,3,5,5,5,5,5,4,1
17783,4,4,2,4,5,4,5,4,3,1
17784,1,4,5,2,5,4,1,3,5,0
17785,5,5,1,4,4,4,3,4,2,1
17786,5,5,4,4,4,2,4,1,4,0
17787,5,2,4,3,4,4,4,4,4,0
17788,5,5,3,4,4,4,5,4,5,1
17789,5,5,4,3,3,5,4,5,4,0
17790,2,2,5,3,4,4,4,5,5,1
17791,5,5,3,4,4,4,3,4,4,1
17792,2,2,4,4,4,4,3,4,3,1
17793,4,1,4,4,4,4,4,4,4,0
17794,2,4,1,5,4,5,4,5,4,0
17797,5,2,5,5,1,5,3,5,3,0
17799,5,5,2,5,3,4,4,3,2,1
17801,4,3,2,1,4,1,1,5,2,0
17802,4,2,4,4,2,4,5,5,4,0
17803,5,2,3,3,2,5,3,5,3,0
17804,5,4,1,5,3,5,4,5,1,0
17805,1,3,5,1,4,4,1,4,5,0
17806,3,3,2,2,4,4,4,3,2,0
17807,2,2,5,4,1,2,1,2,5,0
17808,1,1,5,4,4,4,3,5,5,1
17810,1,1,4,3,4,4,4,3,4,0
17811,4,3,2,3,2,4,1,4,2,0
17813,3,4,2,2,1,4,2,2,5,0
17814,0,1,3,2,2,2,3,2,4,1
17815,3,3,4,5,4,5,4,5,4,1
17816,4,3,4,3,3,5,5,4,4,0
17819,1,1,2,4,4,4,4,4,4,1
17820,5,3,3,3,5,3,5,3,3,0
17821,5,4,5,4,2,4,3,4,5,0
17822,1,1,4,4,4,4,3,4,4,1
17823,1,1,3,5,5,5,3,5,3,1
17824,5,3,5,4,3,4,5,1,5,0
17825,4,3,5,1,4,3,3,1,5,0
17826,2,2,2,5,5,5,2,5,1,1
17828,1,2,3,5,5,5,4,5,3,1
17831,1,1,3,3,3,3,2,3,4,0
17832,4,2,4,4,2,5,3,4,4,0
17833,2,2,4,5,4,5,4,5,4,1
17834,2,2,5,5,1,1,2,3,5,1
17835,5,3,2,5,3,3,1,4,2,0
17836,4,3,1,5,5,5,4,5,4,1
17837,3,3,2,4,4,4,5,4,3,1
17838,5,2,4,3,5,4,4,4,4,1
17839,4,3,1,5,2,5,5,4,1,0
17840,3,3,4,5,5,5,4,5,5,1
17842,4,4,1,2,3,3,2,4,1,0
17843,4,1,2,3,3,3,4,3,4,0
17844,3,3,4,3,2,5,3,5,4,1
17845,5,5,5,3,5,1,5,4,5,1
17846,3,4,2,1,5,4,2,1,2,0
17848,5,5,1,3,3,3,4,3,4,1
17849,5,4,4,1,3,1,4,1,4,0
17852,4,1,1,3,4,4,3,5,1,0
17853,1,3,2,1,2,1,1,1,2,0
17854,4,4,4,3,5,4,3,3,4,1
17855,4,4,4,5,5,5,3,5,4,1
17856,4,4,3,3,4,3,5,3,5,1
17857,5,5,5,3,3,3,1,3,1,0
17860,2,2,4,5,5,5,3,5,5,1
17861,5,3,1,4,3,4,4,5,1,0
17862,2,2,5,1,1,1,2,1,1,0
17863,1,1,5,5,2,4,4,4,5,1
17864,0,3,1,3,1,4,4,2,1,0
17865,2,2,5,4,4,2,4,1,5,1
17866,4,4,2,5,5,5,5,5,4,1
17867,4,1,5,4,3,3,4,3,5,0
17868,4,1,4,3,5,5,5,5,4,0
17869,4,3,2,5,5,4,2,5,2,0
17870,4,4,3,5,5,5,3,5,2,1
17871,2,2,3,4,4,4,5,4,5,1
17872,3,3,3,3,3,3,2,3,2,0
17873,1,2,1,2,5,3,1,3,1,0
17874,5,1,4,4,3,5,3,4,4,0
17875,1,1,3,3,2,3,4,3,1,0
17876,4,3,2,5,4,4,4,5,2,0
17877,1,1,5,3,3,3,4,3,3,1
17878,3,3,3,4,4,5,5,4,4,1
17879,5,5,4,2,5,3,2,4,4,0
17880,4,4,1,2,3,4,3,1,3,0
17881,5,5,4,4,5,2,4,4,4,1
17883,3,3,4,2,3,3,2,1,4,1
17885,4,2,3,5,4,5,1,5,2,1
17886,1,4,5,4,3,2,3,4,5,0
17887,5,5,1,4,5,3,5,5,1,0
17888,5,5,5,5,5,5,3,5,4,1
17889,5,5,3,5,5,5,3,5,1,1
17891,3,3,3,4,1,2,2,5,3,1
17892,5,3,2,5,3,5,5,5,2,0
17893,5,5,2,5,5,4,3,5,5,1
17894,2,2,3,1,1,3,2,2,3,0
17895,0,4,3,1,1,1,3,1,4,1
17896,5,1,2,5,3,1,5,5,3,0
17897,5,5,3,2,2,2,4,2,3,0
17898,2,4,5,2,2,4,3,4,5,0
17900,1,3,2,3,4,3,4,3,4,1
17902,5,1,4,5,4,4,5,5,4,0
17904,2,2,5,1,3,2,2,3,5,1
17905,1,3,4,3,1,3,1,3,4,0
17906,2,2,4,4,4,4,3,4,3,1
17908,1,1,4,1,1,1,2,1,1,0
17909,5,5,5,5,2,1,5,5,5,1
17910,1,1,5,3,3,5,5,4,5,1
17912,5,3,1,4,1,4,2,4,4,0
17913,5,2,1,5,4,2,3,2,1,0
17914,3,3,5,5,5,4,3,5,5,1
17915,3,4,5,3,3,4,2,3,5,0
17916,0,1,2,1,1,1,3,1,4,1
17918,4,3,2,3,4,3,5,3,4,0
17919,4,4,3,3,4,4,2,4,3,0
17920,3,3,4,5,5,4,4,4,4,1
17921,5,2,5,3,3,4,4,5,5,0
17922,3,1,2,2,3,2,2,2,1,0
17923,1,4,5,5,4,5,4,5,1,0
17924,5,5,2,3,1,1,1,2,1,0
17926,5,3,1,5,4,4,2,5,2,0
17927,3,3,5,5,5,5,2,5,2,1
17928,1,1,2,5,5,5,4,5,3,1
17929,5,1,3,2,2,2,5,2,4,0
17930,1,1,3,4,5,3,2,4,3,0
17932,1,1,5,4,4,4,4,4,5,1
17933,5,5,5,5,5,5,4,5,4,1
17935,1,3,3,2,2,3,1,3,3,0
17936,1,2,2,1,2,1,1,2,2,0
17937,4,4,4,5,2,5,3,4,4,0
17938,4,2,4,4,5,5,5,5,4,0
17939,4,3,2,5,4,5,3,4,2,0
17940,2,4,3,3,1,3,1,4,3,1
17941,3,4,3,3,5,2,1,3,1,0
17943,2,2,1,4,4,4,3,4,5,1
17944,5,5,3,4,1,2,1,3,3,0
17945,1,1,5,3,3,4,4,5,5,1
17946,1,1,2,4,3,4,4,4,3,1
17947,4,3,5,5,4,5,5,4,5,0
17948,1,1,1,5,5,4,3,5,3,1
17949,4,5,2,1,3,1,4,1,5,0
17951,3,2,3,2,2,2,2,2,4,0
17952,4,4,2,2,2,1,4,2,4,0
17953,3,2,4,2,3,2,2,2,4,0
17954,3,3,5,2,2,3,3,4,5,0
17955,5,3,2,1,5,1,3,1,4,1
17956,1,1,3,2,2,2,4,2,4,0
17957,5,2,2,4,5,3,4,4,2,1
17958,3,3,3,2,3,1,5,5,3,1
17959,5,4,4,4,4,5,4,5,4,0
17960,3,3,2,2,4,3,2,4,2,0
17961,2,2,3,2,1,2,4,2,4,0
17962,3,3,4,5,2,2,1,3,4,1
17963,2,2,2,3,4,1,3,2,2,0
17965,4,4,2,2,2,2,4,2,4,1
17967,2,2,4,4,4,4,5,4,2,1
17968,4,4,2,1,2,1,3,1,3,0
17969,2,2,2,4,4,4,4,4,4,1
17971,2,3,4,4,3,4,3,4,2,0
17972,1,1,4,4,4,4,5,4,5,1
17973,0,3,2,4,5,5,5,4,4,1
17974,1,1,2,3,3,3,4,3,4,0
17975,2,4,3,5,1,5,3,5,3,0
17977,4,1,1,4,4,3,5,1,1,0
17978,4,4,4,5,1,2,3,4,4,1
17979,4,1,3,5,1,1,2,2,2,0
17980,1,1,4,3,3,4,4,5,4,1
17981,1,1,5,4,4,5,1,1,5,1
17982,4,1,5,4,5,5,3,4,5,0
17984,5,4,2,4,5,4,3,4,2,1
17985,5,2,3,3,2,4,3,5,3,0
17986,4,4,2,3,3,3,3,3,3,1
17988,2,3,4,2,2,3,2,2,4,0
17989,5,2,1,1,3,1,4,1,4,0
17990,1,1,3,5,5,5,5,5,3,1
17991,2,2,3,3,3,3,5,3,4,1
17992,5,5,3,5,5,5,5,5,3,1
17993,4,4,5,4,4,4,5,4,5,1
17994,2,3,5,3,1,4,1,3,5,1
17995,5,5,4,3,5,1,2,3,4,1
17996,1,1,4,3,1,1,5,5,4,1
18000,3,3,3,4,4,4,5,4,3,1
18002,4,4,4,5,4,4,5,3,4,1
18003,5,5,5,4,4,4,3,4,4,1
18004,1,1,2,3,3,5,5,4,2,1
18005,4,4,5,2,4,1,4,5,5,1
18006,1,4,1,2,2,2,2,2,1,0
18007,1,1,2,3,4,3,4,3,3,1
18008,2,2,1,4,4,4,1,4,2,1
18009,2,2,4,4,5,4,3,4,3,1
18011,5,5,4,1,4,3,5,5,4,1
18012,3,3,4,4,3,4,4,2,4,0
18013,3,3,3,2,2,2,4,2,2,0
18014,3,3,3,4,4,4,3,4,4,1
18015,2,2,5,4,4,4,3,4,3,1
18016,5,5,5,1,4,4,3,2,5,1
18017,2,2,5,3,3,4,3,3,4,0
18018,5,5,1,2,2,2,3,2,2,0
18019,2,2,5,4,4,4,3,4,4,1
18020,2,2,1,2,2,2,2,2,3,0
18021,5,5,5,5,5,5,3,5,5,1
18022,4,3,2,2,4,3,5,3,2,0
18023,2,3,4,2,3,2,1,2,4,0
18024,2,2,2,4,5,4,5,4,4,1
18025,5,5,2,4,4,4,4,4,5,1
18026,3,3,4,3,3,4,3,3,4,0
18028,5,2,3,4,2,4,4,5,3,0
18029,1,1,4,4,4,3,2,3,4,1
18031,4,4,2,4,3,4,3,4,2,0
18032,1,3,4,4,5,3,2,3,4,0
18033,5,3,2,3,2,5,3,1,2,0
18034,3,3,1,3,3,3,4,3,3,0
18037,2,2,5,4,5,4,5,5,5,1
18038,3,2,4,2,4,4,2,3,4,0
18039,5,5,5,5,5,5,5,5,1,1
18041,5,5,5,1,2,4,1,1,2,0
18042,0,1,5,5,3,4,5,4,5,0
18043,2,2,3,1,3,5,3,2,3,1
18045,4,3,4,5,3,5,3,5,4,1
18047,1,1,2,4,4,4,4,4,5,1
18049,1,1,1,4,2,2,4,1,1,0
18050,4,3,5,1,2,1,4,1,2,0
18051,4,4,3,3,3,3,4,3,5,0
18052,2,2,5,2,2,4,3,4,5,1
18054,5,5,1,2,5,2,2,2,1,0
18055,2,2,2,1,3,3,2,3,2,0
18057,2,3,4,2,1,3,4,3,4,0
18058,4,5,2,5,4,5,1,4,1,0
18059,4,3,4,4,3,4,4,4,3,0
18060,0,5,4,5,3,1,3,1,4,1
18061,3,5,3,2,2,1,3,3,3,0
18062,2,2,1,5,4,5,3,5,5,1
18063,3,3,4,5,3,1,3,1,4,1
18064,1,1,3,3,3,3,3,3,1,0
18066,1,1,2,1,5,3,3,3,2,0
18068,5,5,5,4,2,3,3,5,5,1
18069,4,4,4,1,4,1,1,5,4,1
18070,4,3,2,5,3,5,5,4,2,0
18071,2,2,5,4,2,5,3,5,5,1
18072,2,2,2,4,4,4,3,4,3,1
18075,5,5,4,4,4,4,5,4,4,1
18076,1,1,2,3,3,4,4,2,2,1
18080,5,1,3,1,2,1,5,2,3,0
18081,3,3,2,2,2,2,3,3,2,0
18082,5,5,4,5,5,5,5,5,4,1
18083,2,2,4,4,3,4,5,4,4,1
18084,3,4,1,3,3,4,3,4,1,0
18086,5,5,5,4,1,2,2,4,5,1
18087,2,2,4,4,4,4,1,4,4,0
18088,5,2,4,5,5,5,3,5,3,1
18089,3,3,3,3,2,3,1,4,3,0
18090,3,3,2,4,1,4,4,4,2,0
18091,1,1,4,4,1,3,3,5,4,1
18092,3,3,3,4,3,4,1,4,4,0
18093,4,4,2,2,4,4,2,4,2,0
18094,1,1,3,3,3,3,5,3,1,1
18095,2,2,4,5,5,5,3,5,5,1
18096,4,4,5,5,4,4,5,5,5,0
18097,2,2,3,3,3,4,3,3,3,0
18099,4,3,3,4,3,3,3,4,3,0
18100,5,5,2,5,5,5,4,5,3,1
18101,1,3,1,4,2,4,1,4,1,0
18102,1,3,3,4,5,1,1,3,3,0
18104,4,4,3,1,4,4,4,3,3,1
18106,1,1,5,4,3,4,3,4,3,1
18108,5,5,2,2,2,2,4,2,3,0
18109,3,3,3,4,4,4,5,4,3,1
18110,2,2,3,5,5,5,3,5,4,1
18111,4,4,3,5,3,5,4,5,5,0
18112,3,2,2,3,2,2,2,2,2,0
18113,5,5,1,2,2,4,3,4,1,0
18114,2,2,2,4,4,5,3,4,4,1
18115,1,1,1,5,3,3,1,4,1,0
18116,2,4,5,2,3,4,1,4,5,0
18117,3,3,2,3,4,3,1,3,1,1
18118,3,3,4,4,2,5,3,2,4,1
18120,2,4,2,1,4,3,2,4,2,0
18121,5,1,4,4,3,4,4,5,4,0
18122,3,3,1,4,4,4,2,4,3,0
18123,3,3,4,5,5,5,4,5,1,1
18124,5,5,4,3,4,5,4,4,4,1
18125,2,2,5,3,2,4,3,3,3,0
18126,3,5,1,1,5,5,3,4,1,1
18127,5,5,5,5,5,5,4,5,4,1
18128,2,2,3,3,2,3,3,4,3,0
18129,0,4,2,4,4,4,4,4,4,1
18130,1,1,4,4,4,1,4,1,4,1
18131,0,3,3,2,5,5,5,2,3,1
18132,2,2,5,5,2,4,5,4,5,1
18133,3,2,2,3,2,2,3,3,2,0
18134,5,1,1,5,3,5,5,4,1,1
18136,4,3,5,5,5,5,3,5,5,0
18138,4,2,3,5,4,4,5,4,3,0
18139,5,4,2,4,2,5,3,4,2,0
18140,1,1,4,4,4,4,3,4,3,1
18141,2,2,2,3,3,3,1,3,3,0
18142,4,2,2,4,3,5,4,4,2,0
18143,2,2,5,4,4,4,2,4,1,1
18144,3,4,4,3,3,3,4,3,3,1
18145,1,1,4,4,3,4,5,4,4,1
18146,4,3,1,3,5,4,4,4,1,0
18147,3,3,4,5,5,5,3,5,3,1
18149,1,2,0,1,1,2,1,3,1,1
18150,4,4,4,5,3,5,3,4,4,1
18152,5,2,4,5,3,5,5,4,4,0
18153,0,2,1,3,4,5,4,1,1,1
18154,2,2,3,5,5,5,4,5,4,1
18155,4,4,2,5,5,5,4,5,4,1
18156,4,4,5,2,3,2,3,2,5,0
18157,1,1,2,5,5,5,3,5,3,1
18158,3,3,5,5,3,5,4,4,5,1
18159,5,5,3,4,3,4,1,4,3,0
18160,2,2,3,4,4,4,4,4,5,1
18161,5,5,3,1,1,1,4,1,2,0
18163,2,2,1,1,1,4,1,3,1,0
18164,2,3,4,3,5,4,1,3,4,0
18165,5,5,3,5,2,5,2,4,3,1
18166,1,1,4,3,4,4,4,4,4,0
18167,4,3,3,3,4,1,1,3,1,0
18168,5,2,4,1,1,1,4,1,4,0
18169,1,1,5,5,5,5,4,5,4,1
18170,4,4,3,4,4,4,5,4,4,1
18171,2,2,4,1,1,1,4,1,1,0
18172,4,3,4,5,3,4,4,4,4,0
18174,2,2,3,3,3,3,4,3,3,0
18175,5,1,2,4,3,4,3,5,2,0
18177,4,3,2,5,2,3,3,5,2,0
18179,5,3,5,4,5,4,5,5,5,0
18180,5,3,5,2,2,2,4,2,4,0
18182,3,3,4,4,5,4,3,4,5,1
18183,5,5,2,2,2,4,4,3,2,0
18184,5,4,4,4,5,5,1,5,4,0
18185,4,4,3,5,5,5,5,5,3,1
18187,5,2,5,3,2,1,2,3,2,0
18188,5,4,3,1,3,1,4,1,3,0
18189,5,5,3,2,1,4,3,4,3,0
18190,1,3,5,1,3,2,4,2,5,0
18191,1,4,5,1,2,3,4,4,5,0
18192,2,2,5,3,5,5,4,4,5,1
18193,4,3,3,3,3,1,3,2,3,0
18195,3,3,3,1,2,4,2,4,3,0
18199,4,2,3,4,4,5,4,4,3,0
18201,2,2,1,4,4,4,5,4,4,1
18202,4,4,5,4,4,4,3,4,3,1
18203,3,3,2,2,2,2,2,2,1,0
18204,1,3,2,3,4,3,2,3,2,1
18205,4,4,5,5,2,4,4,4,5,1
18206,5,5,2,2,2,2,2,2,3,0
18207,1,3,4,2,3,4,1,3,4,0
18208,3,3,1,2,1,4,4,4,1,0
18209,4,2,4,5,4,4,4,5,4,0
18210,3,3,5,3,4,3,4,3,5,1
18211,2,2,3,4,5,4,3,4,5,1
18212,1,1,4,5,5,5,5,5,3,1
18213,2,2,5,4,4,4,2,4,1,1
18214,2,2,1,3,3,3,1,3,4,0
18215,5,3,5,4,3,4,3,4,4,0
18216,3,3,4,1,2,1,1,1,4,0
18217,4,4,3,1,3,2,1,3,3,0
18218,4,4,2,5,3,3,5,2,2,1
18219,5,5,4,5,2,4,5,5,4,0
18220,5,5,3,1,3,3,1,3,3,0
18221,1,1,5,4,2,1,4,3,5,1
18222,4,3,3,5,3,3,3,5,4,0
18224,3,3,5,1,1,3,1,3,5,1
18226,4,2,2,5,0,5,3,5,3,1
18227,4,4,4,5,2,4,4,5,4,0
18229,2,2,5,5,2,2,4,3,5,1
18230,4,4,4,4,4,4,3,4,3,1
18231,5,3,2,3,3,5,5,4,2,0
18232,5,5,3,3,3,5,4,5,3,0
18235,5,5,4,4,4,4,4,4,5,1
18236,3,3,5,5,5,5,5,5,5,1
18237,3,3,4,1,1,3,1,2,4,1
18238,4,4,1,5,2,4,4,4,1,0
18239,3,3,3,3,3,3,4,3,1,0
18240,4,4,5,4,2,4,5,5,5,0
18241,4,4,3,1,5,3,2,4,3,0
18242,5,1,5,4,2,3,3,5,5,0
18244,5,1,4,4,4,2,1,5,4,0
18245,2,2,3,1,4,3,1,3,3,0
18246,3,1,3,5,5,1,5,3,3,0
18247,3,3,1,3,4,3,1,4,1,0
18251,4,3,2,3,5,4,4,4,2,0
18253,4,4,5,3,3,4,3,5,5,0
18254,4,4,3,2,2,2,5,2,3,1
18256,4,4,2,3,3,5,3,4,2,0
18257,4,4,4,5,5,5,3,5,4,1
18258,4,4,5,4,4,4,4,4,5,1
18259,4,5,3,3,3,5,3,5,3,0
18262,4,4,4,4,4,4,4,4,5,1
18263,2,2,1,3,3,3,2,3,1,0
18264,2,3,2,3,2,3,5,3,1,1
18265,1,1,5,4,5,5,4,5,5,1
18266,4,4,2,4,5,4,1,4,1,1
18267,2,2,1,1,4,4,3,1,2,0
18269,2,2,3,4,4,4,3,4,3,1
18270,5,5,3,4,2,4,1,3,3,0
18271,1,3,5,2,4,4,3,4,5,0
18272,2,2,3,4,4,4,3,4,5,1
18273,5,3,3,2,4,2,4,2,3,0
18274,4,1,3,3,1,3,4,4,3,0
18276,4,4,4,3,1,2,4,1,4,1
18277,4,1,3,3,5,4,3,4,3,0
18278,3,4,5,3,5,4,1,3,5,0
18279,3,3,1,2,3,2,2,2,4,0
18280,5,2,2,3,1,3,5,3,3,0
18282,5,5,5,5,2,3,1,2,5,1
18283,2,2,4,3,4,3,4,3,3,1
18284,3,3,5,3,3,3,4,3,3,0
18286,2,2,4,5,5,5,5,5,3,1
18287,4,4,4,3,5,4,5,5,4,0
18289,4,4,2,1,3,3,1,3,2,1
18290,1,1,4,1,1,1,2,1,1,0
18291,2,2,5,4,3,2,1,5,5,1
18292,3,3,3,2,2,2,2,2,4,0
18293,5,4,2,3,2,4,5,1,2,0
18294,4,1,3,4,4,1,3,3,3,0
18295,1,1,5,2,4,4,5,4,5,1
18296,3,3,2,4,4,4,3,4,3,1
18298,2,2,1,2,2,2,4,2,2,0
18299,5,5,4,4,4,4,5,2,4,1
18300,4,2,2,4,4,4,5,5,2,0
18301,4,2,2,3,2,5,4,5,2,1
18303,4,4,1,3,3,3,4,3,4,0
18304,1,1,4,5,5,5,5,5,3,1
18306,1,1,4,3,3,3,2,3,5,1
